epoch,train_loss,val_loss,lr,epoch_time,gpu_memory_allocated,gpu_memory_reserved
1,47.602769171605345,2.9769619554281235,1.3000000000000001e-05,3.7135000228881836,0.051226112,0.161480704
2,2.272665324758311,2.4433364272117615,1.6000000000000003e-05,2.888706684112549,0.05127168,0.161480704
3,2.0939890537105623,2.271679103374481,1.9000000000000004e-05,2.89526629447937,0.051397632,0.159383552
4,1.9902831589589354,2.109269507229328,2.2000000000000006e-05,2.8877851963043213,0.051218432,0.161480704
5,1.93437011710933,2.065381206572056,2.5000000000000008e-05,2.9029340744018555,0.051398144,0.159383552
6,1.8797736910522962,2.022740416228771,2.8000000000000013e-05,2.930917739868164,0.051375104,0.159383552
7,1.8156291285499198,1.8864293321967125,3.1000000000000015e-05,2.926159381866455,0.051947008,0.159383552
8,1.7569796706809373,1.852732427418232,3.400000000000001e-05,2.930053949356079,0.051375104,0.159383552
9,1.6859945078365137,1.7717088609933853,3.700000000000001e-05,2.9210920333862305,0.051374592,0.159383552
10,1.6314819797140654,1.70584224909544,4.000000000000002e-05,2.9168031215667725,0.051195392,0.161480704
11,1.548397822458236,1.7442984208464622,4.3000000000000015e-05,2.9292750358581543,0.051373568,0.159383552
12,1.4725318971227428,1.585472084581852,4.6000000000000014e-05,2.9279401302337646,0.051287552,0.161480704
13,1.385271707519156,1.6253716722130775,4.900000000000002e-05,2.92728853225708,0.051241472,0.161480704
14,1.336975547133899,1.3308629915118217,5.2000000000000024e-05,2.934467315673828,0.05132544,0.161480704
15,1.2554012927852694,1.1974724940955639,5.500000000000003e-05,2.9379405975341797,0.051373568,0.159383552
16,1.2279117791379084,1.5736681669950485,5.800000000000003e-05,2.975501298904419,0.051264,0.161480704
17,1.1920618326937567,1.2754338085651398,6.1000000000000026e-05,2.8463706970214844,0.051374592,0.159383552
18,1.130442880216192,1.5947604551911354,6.400000000000002e-05,2.895448684692383,0.05131008,0.161480704
19,1.0872160381958134,1.1269274801015854,6.700000000000003e-05,2.871842861175537,0.051936256,0.159383552
