Per-Gloss Recognition Performance - Transformer,,,,,,,,
Gloss ID,Gloss Label,Total Ground Truth,Total TP,Total FP,Total FN,Precision,Recall,F1-score
94,CRAB (94),95,87,13,8,0.87,0.915789,0.892308
95,HOT (95),95,85,68,10,0.555556,0.894737,0.685484
96,COLD (96),100,92,16,8,0.851852,0.92,0.884615
97,JUICE (97),98,83,43,15,0.65873,0.846939,0.741071
98,MILK (98),99,91,80,8,0.532164,0.919192,0.674074
99,COFFEE (99),96,85,27,11,0.758929,0.885417,0.817308
100,TEA (100),99,87,19,12,0.820755,0.878788,0.84878
101,BEER (101),96,86,23,10,0.788991,0.895833,0.839024
102,WINE (102),95,84,26,11,0.763636,0.884211,0.819512
103,SUGAR (103),98,90,49,8,0.647482,0.918367,0.759494
104,NO SUGAR (104),96,81,41,15,0.663934,0.84375,0.743119
