Per-Gloss Recognition Performance - IV3-GRU,,,,,,,,
Gloss ID,Gloss Label,Total Ground Truth,Total TP,Total FP,Total FN,Precision,Recall,F1-score
94,CRAB (94),95,79,22,16,0.782178,0.831579,0.806122
95,HOT (95),95,60,24,35,0.714286,0.631579,0.670391
96,COLD (96),100,82,10,18,0.891304,0.82,0.854167
97,JUICE (97),98,73,28,25,0.722772,0.744898,0.733668
98,MILK (98),99,64,47,35,0.576577,0.646465,0.609524
99,COFFEE (99),96,72,18,24,0.8,0.75,0.774194
100,TEA (100),99,84,27,15,0.756757,0.848485,0.8
101,BEER (101),96,77,15,19,0.836957,0.802083,0.819149
102,WINE (102),95,54,28,41,0.658537,0.568421,0.610169
103,SUGAR (103),98,32,32,66,0.5,0.326531,0.395062
104,NO SUGAR (104),96,59,17,37,0.776316,0.614583,0.686047
