Model,Actual Gloss Label,Total Ground Truth,Predicted Gloss Label,Number of Confusions,Percentage of Confusions,Notes
Transformer,GOOD MORNING (0),95,GOOD AFTERNOON (1),1,1.05%,Low Confusion
Transformer,GOOD MORNING (0),95,HOW ARE YOU (4),1,1.05%,Low Confusion
Transformer,GOOD MORNING (0),95,SEE YOU TOMORROW (9),4,4.21%,Low Confusion
Transformer,GOOD MORNING (0),95,DON'T UNDERSTAND (11),1,1.05%,Low Confusion
Transformer,GOOD MORNING (0),95,KNOW (12),1,1.05%,Low Confusion
Transformer,GOOD MORNING (0),95,NO (14),1,1.05%,Low Confusion
Transformer,GOOD MORNING (0),95,YES (15),1,1.05%,Low Confusion
Transformer,GOOD MORNING (0),95,TWO (21),1,1.05%,Low Confusion
Transformer,GOOD MORNING (0),95,SEVEN (26),1,1.05%,Low Confusion
Transformer,GOOD MORNING (0),95,EIGHT (27),1,1.05%,Low Confusion
Transformer,GOOD MORNING (0),95,NINE (28),2,2.11%,Low Confusion
Transformer,GOOD MORNING (0),95,TEN (29),4,4.21%,Low Confusion
Transformer,GOOD MORNING (0),95,JANUARY (30),1,1.05%,Low Confusion
Transformer,GOOD MORNING (0),95,MARCH (32),1,1.05%,Low Confusion
Transformer,GOOD MORNING (0),95,APRIL (33),1,1.05%,Low Confusion
Transformer,GOOD MORNING (0),95,MAY (34),1,1.05%,Low Confusion
Transformer,GOOD MORNING (0),95,FRIDAY (46),1,1.05%,Low Confusion
Transformer,GOOD MORNING (0),95,TOMORROW (50),1,1.05%,Low Confusion
Transformer,GOOD MORNING (0),95,FATHER (52),1,1.05%,Low Confusion
Transformer,GOOD MORNING (0),95,SON (54),2,2.11%,Low Confusion
Transformer,GOOD MORNING (0),95,HARD OF HEARING (67),3,3.16%,Low Confusion
Transformer,GOOD MORNING (0),95,DEAF BLIND (70),1,1.05%,Low Confusion
Transformer,GOOD MORNING (0),95,MARRIED (71),2,2.11%,Low Confusion
Transformer,GOOD MORNING (0),95,RED (74),1,1.05%,Low Confusion
Transformer,GOOD MORNING (0),95,WHITE (77),1,1.05%,Low Confusion
Transformer,GOOD MORNING (0),95,YELLOW (78),1,1.05%,Low Confusion
Transformer,GOOD MORNING (0),95,VIOLET (82),1,1.05%,Low Confusion
Transformer,GOOD MORNING (0),95,EGG (86),2,2.11%,Low Confusion
Transformer,GOOD MORNING (0),95,MEAT (88),2,2.11%,Low Confusion
Transformer,GOOD MORNING (0),95,LONGANISA (92),1,1.05%,Low Confusion
Transformer,GOOD MORNING (0),95,HOT (95),1,1.05%,Low Confusion
Transformer,GOOD MORNING (0),95,JUICE (97),1,1.05%,Low Confusion
Transformer,GOOD MORNING (0),95,MILK (98),3,3.16%,Low Confusion
Transformer,GOOD MORNING (0),95,SUGAR (103),1,1.05%,Low Confusion
Transformer,GOOD AFTERNOON (1),99,UNDERSTAND (10),1,1.01%,Low Confusion
Transformer,GOOD AFTERNOON (1),99,KNOW (12),1,1.01%,Low Confusion
Transformer,GOOD AFTERNOON (1),99,DON'T KNOW (13),1,1.01%,Low Confusion
Transformer,GOOD AFTERNOON (1),99,WRONG (16),2,2.02%,Low Confusion
Transformer,GOOD AFTERNOON (1),99,SLOW (18),2,2.02%,Low Confusion
Transformer,GOOD AFTERNOON (1),99,ONE (20),1,1.01%,Low Confusion
Transformer,GOOD AFTERNOON (1),99,EIGHT (27),1,1.01%,Low Confusion
Transformer,GOOD AFTERNOON (1),99,TEN (29),13,13.13%,High Confusion
Transformer,GOOD AFTERNOON (1),99,JANUARY (30),1,1.01%,Low Confusion
Transformer,GOOD AFTERNOON (1),99,APRIL (33),1,1.01%,Low Confusion
Transformer,GOOD AFTERNOON (1),99,JUNE (35),1,1.01%,Low Confusion
Transformer,GOOD AFTERNOON (1),99,JULY (36),1,1.01%,Low Confusion
Transformer,GOOD AFTERNOON (1),99,OCTOBER (39),1,1.01%,Low Confusion
Transformer,GOOD AFTERNOON (1),99,TUESDAY (43),1,1.01%,Low Confusion
Transformer,GOOD AFTERNOON (1),99,FRIDAY (46),1,1.01%,Low Confusion
Transformer,GOOD AFTERNOON (1),99,SUNDAY (48),1,1.01%,Low Confusion
Transformer,GOOD AFTERNOON (1),99,TODAY (49),1,1.01%,Low Confusion
Transformer,GOOD AFTERNOON (1),99,TOMORROW (50),1,1.01%,Low Confusion
Transformer,GOOD AFTERNOON (1),99,SON (54),1,1.01%,Low Confusion
Transformer,GOOD AFTERNOON (1),99,GRANDMOTHER (57),1,1.01%,Low Confusion
Transformer,GOOD AFTERNOON (1),99,UNCLE (58),1,1.01%,Low Confusion
Transformer,GOOD AFTERNOON (1),99,COUSIN (60),1,1.01%,Low Confusion
Transformer,GOOD AFTERNOON (1),99,PARENTS (61),1,1.01%,Low Confusion
Transformer,GOOD AFTERNOON (1),99,MAN (64),1,1.01%,Low Confusion
Transformer,GOOD AFTERNOON (1),99,WOMAN (65),1,1.01%,Low Confusion
Transformer,GOOD AFTERNOON (1),99,DEAF (66),3,3.03%,Low Confusion
Transformer,GOOD AFTERNOON (1),99,HARD OF HEARING (67),1,1.01%,Low Confusion
Transformer,GOOD AFTERNOON (1),99,MARRIED (71),2,2.02%,Low Confusion
Transformer,GOOD AFTERNOON (1),99,BLUE (72),1,1.01%,Low Confusion
Transformer,GOOD AFTERNOON (1),99,BROWN (75),1,1.01%,Low Confusion
Transformer,GOOD AFTERNOON (1),99,BLACK (76),1,1.01%,Low Confusion
Transformer,GOOD AFTERNOON (1),99,YELLOW (78),1,1.01%,Low Confusion
Transformer,GOOD AFTERNOON (1),99,SPAGHETTI (90),1,1.01%,Low Confusion
Transformer,GOOD AFTERNOON (1),99,SHRIMP (93),1,1.01%,Low Confusion
Transformer,GOOD AFTERNOON (1),99,CRAB (94),2,2.02%,Low Confusion
Transformer,GOOD AFTERNOON (1),99,MILK (98),2,2.02%,Low Confusion
Transformer,GOOD AFTERNOON (1),99,WINE (102),1,1.01%,Low Confusion
Transformer,GOOD EVENING (2),96,GOOD AFTERNOON (1),1,1.04%,Low Confusion
Transformer,GOOD EVENING (2),96,NICE TO MEET YOU (6),1,1.04%,Low Confusion
Transformer,GOOD EVENING (2),96,SEE YOU TOMORROW (9),1,1.04%,Low Confusion
Transformer,GOOD EVENING (2),96,UNDERSTAND (10),1,1.04%,Low Confusion
Transformer,GOOD EVENING (2),96,YES (15),1,1.04%,Low Confusion
Transformer,GOOD EVENING (2),96,WRONG (16),1,1.04%,Low Confusion
Transformer,GOOD EVENING (2),96,SLOW (18),1,1.04%,Low Confusion
Transformer,GOOD EVENING (2),96,ONE (20),1,1.04%,Low Confusion
Transformer,GOOD EVENING (2),96,TWO (21),1,1.04%,Low Confusion
Transformer,GOOD EVENING (2),96,THREE (22),1,1.04%,Low Confusion
Transformer,GOOD EVENING (2),96,TEN (29),9,9.38%,Moderate Confusion
Transformer,GOOD EVENING (2),96,MARCH (32),2,2.08%,Low Confusion
Transformer,GOOD EVENING (2),96,MAY (34),1,1.04%,Low Confusion
Transformer,GOOD EVENING (2),96,AUGUST (37),1,1.04%,Low Confusion
Transformer,GOOD EVENING (2),96,SEPTEMBER (38),2,2.08%,Low Confusion
Transformer,GOOD EVENING (2),96,NOVEMBER (40),1,1.04%,Low Confusion
Transformer,GOOD EVENING (2),96,MONDAY (42),1,1.04%,Low Confusion
Transformer,GOOD EVENING (2),96,TOMORROW (50),2,2.08%,Low Confusion
Transformer,GOOD EVENING (2),96,YESTERDAY (51),1,1.04%,Low Confusion
Transformer,GOOD EVENING (2),96,MOTHER (53),1,1.04%,Low Confusion
Transformer,GOOD EVENING (2),96,GRANDFATHER (56),1,1.04%,Low Confusion
Transformer,GOOD EVENING (2),96,DEAF (66),1,1.04%,Low Confusion
Transformer,GOOD EVENING (2),96,BLIND (69),1,1.04%,Low Confusion
Transformer,GOOD EVENING (2),96,RED (74),1,1.04%,Low Confusion
Transformer,GOOD EVENING (2),96,WHITE (77),1,1.04%,Low Confusion
Transformer,GOOD EVENING (2),96,PINK (81),2,2.08%,Low Confusion
Transformer,GOOD EVENING (2),96,LIGHT (83),1,1.04%,Low Confusion
Transformer,GOOD EVENING (2),96,MEAT (88),2,2.08%,Low Confusion
Transformer,GOOD EVENING (2),96,CHICKEN (89),1,1.04%,Low Confusion
Transformer,GOOD EVENING (2),96,SPAGHETTI (90),1,1.04%,Low Confusion
Transformer,GOOD EVENING (2),96,HOT (95),1,1.04%,Low Confusion
Transformer,GOOD EVENING (2),96,COLD (96),1,1.04%,Low Confusion
Transformer,GOOD EVENING (2),96,MILK (98),1,1.04%,Low Confusion
Transformer,GOOD EVENING (2),96,BEER (101),2,2.08%,Low Confusion
Transformer,HELLO (3),103,GOOD AFTERNOON (1),2,1.94%,Low Confusion
Transformer,HELLO (3),103,GOOD EVENING (2),1,0.97%,Low Confusion
Transformer,HELLO (3),103,KNOW (12),2,1.94%,Low Confusion
Transformer,HELLO (3),103,DON'T KNOW (13),1,0.97%,Low Confusion
Transformer,HELLO (3),103,NO (14),3,2.91%,Low Confusion
Transformer,HELLO (3),103,CORRECT (17),1,0.97%,Low Confusion
Transformer,HELLO (3),103,FAST (19),1,0.97%,Low Confusion
Transformer,HELLO (3),103,ONE (20),1,0.97%,Low Confusion
Transformer,HELLO (3),103,SIX (25),1,0.97%,Low Confusion
Transformer,HELLO (3),103,SEVEN (26),1,0.97%,Low Confusion
Transformer,HELLO (3),103,NINE (28),1,0.97%,Low Confusion
Transformer,HELLO (3),103,TEN (29),1,0.97%,Low Confusion
Transformer,HELLO (3),103,JANUARY (30),1,0.97%,Low Confusion
Transformer,HELLO (3),103,MAY (34),1,0.97%,Low Confusion
Transformer,HELLO (3),103,JUNE (35),2,1.94%,Low Confusion
Transformer,HELLO (3),103,JULY (36),1,0.97%,Low Confusion
Transformer,HELLO (3),103,NOVEMBER (40),1,0.97%,Low Confusion
Transformer,HELLO (3),103,THURSDAY (45),2,1.94%,Low Confusion
Transformer,HELLO (3),103,DAUGHTER (55),1,0.97%,Low Confusion
Transformer,HELLO (3),103,PARENTS (61),1,0.97%,Low Confusion
Transformer,HELLO (3),103,GIRL (63),1,0.97%,Low Confusion
Transformer,HELLO (3),103,DEAF BLIND (70),2,1.94%,Low Confusion
Transformer,HELLO (3),103,MARRIED (71),1,0.97%,Low Confusion
Transformer,HELLO (3),103,BLUE (72),1,0.97%,Low Confusion
Transformer,HELLO (3),103,GREEN (73),1,0.97%,Low Confusion
Transformer,HELLO (3),103,BROWN (75),1,0.97%,Low Confusion
Transformer,HELLO (3),103,ORANGE (79),3,2.91%,Low Confusion
Transformer,HELLO (3),103,LIGHT (83),1,0.97%,Low Confusion
Transformer,HELLO (3),103,FISH (87),1,0.97%,Low Confusion
Transformer,HELLO (3),103,CHICKEN (89),1,0.97%,Low Confusion
Transformer,HELLO (3),103,SPAGHETTI (90),1,0.97%,Low Confusion
Transformer,HELLO (3),103,RICE (91),3,2.91%,Low Confusion
Transformer,HELLO (3),103,HOT (95),1,0.97%,Low Confusion
Transformer,HELLO (3),103,TEA (100),1,0.97%,Low Confusion
Transformer,HELLO (3),103,SUGAR (103),1,0.97%,Low Confusion
Transformer,HOW ARE YOU (4),99,UNDERSTAND (10),1,1.01%,Low Confusion
Transformer,HOW ARE YOU (4),99,KNOW (12),1,1.01%,Low Confusion
Transformer,HOW ARE YOU (4),99,DON'T KNOW (13),1,1.01%,Low Confusion
Transformer,HOW ARE YOU (4),99,NO (14),5,5.05%,Moderate Confusion
Transformer,HOW ARE YOU (4),99,YES (15),1,1.01%,Low Confusion
Transformer,HOW ARE YOU (4),99,WRONG (16),1,1.01%,Low Confusion
Transformer,HOW ARE YOU (4),99,SLOW (18),1,1.01%,Low Confusion
Transformer,HOW ARE YOU (4),99,ONE (20),6,6.06%,Moderate Confusion
Transformer,HOW ARE YOU (4),99,THREE (22),1,1.01%,Low Confusion
Transformer,HOW ARE YOU (4),99,SEVEN (26),1,1.01%,Low Confusion
Transformer,HOW ARE YOU (4),99,TEN (29),2,2.02%,Low Confusion
Transformer,HOW ARE YOU (4),99,APRIL (33),1,1.01%,Low Confusion
Transformer,HOW ARE YOU (4),99,MAY (34),1,1.01%,Low Confusion
Transformer,HOW ARE YOU (4),99,JULY (36),2,2.02%,Low Confusion
Transformer,HOW ARE YOU (4),99,DECEMBER (41),1,1.01%,Low Confusion
Transformer,HOW ARE YOU (4),99,FRIDAY (46),2,2.02%,Low Confusion
Transformer,HOW ARE YOU (4),99,SUNDAY (48),1,1.01%,Low Confusion
Transformer,HOW ARE YOU (4),99,TOMORROW (50),1,1.01%,Low Confusion
Transformer,HOW ARE YOU (4),99,MOTHER (53),1,1.01%,Low Confusion
Transformer,HOW ARE YOU (4),99,DAUGHTER (55),1,1.01%,Low Confusion
Transformer,HOW ARE YOU (4),99,UNCLE (58),1,1.01%,Low Confusion
Transformer,HOW ARE YOU (4),99,PARENTS (61),1,1.01%,Low Confusion
Transformer,HOW ARE YOU (4),99,WOMAN (65),1,1.01%,Low Confusion
Transformer,HOW ARE YOU (4),99,DEAF (66),2,2.02%,Low Confusion
Transformer,HOW ARE YOU (4),99,WEELCHAIR PERSON (68),1,1.01%,Low Confusion
Transformer,HOW ARE YOU (4),99,GREEN (73),1,1.01%,Low Confusion
Transformer,HOW ARE YOU (4),99,RED (74),1,1.01%,Low Confusion
Transformer,HOW ARE YOU (4),99,BLACK (76),1,1.01%,Low Confusion
Transformer,HOW ARE YOU (4),99,YELLOW (78),1,1.01%,Low Confusion
Transformer,HOW ARE YOU (4),99,VIOLET (82),1,1.01%,Low Confusion
Transformer,HOW ARE YOU (4),99,SPAGHETTI (90),1,1.01%,Low Confusion
Transformer,HOW ARE YOU (4),99,RICE (91),2,2.02%,Low Confusion
Transformer,HOW ARE YOU (4),99,MILK (98),1,1.01%,Low Confusion
Transformer,HOW ARE YOU (4),99,COFFEE (99),2,2.02%,Low Confusion
Transformer,HOW ARE YOU (4),99,BEER (101),1,1.01%,Low Confusion
Transformer,HOW ARE YOU (4),99,WINE (102),2,2.02%,Low Confusion
Transformer,IM FINE (5),96,SEE YOU TOMORROW (9),1,1.04%,Low Confusion
Transformer,IM FINE (5),96,UNDERSTAND (10),2,2.08%,Low Confusion
Transformer,IM FINE (5),96,DON'T UNDERSTAND (11),1,1.04%,Low Confusion
Transformer,IM FINE (5),96,NO (14),1,1.04%,Low Confusion
Transformer,IM FINE (5),96,WRONG (16),2,2.08%,Low Confusion
Transformer,IM FINE (5),96,SLOW (18),1,1.04%,Low Confusion
Transformer,IM FINE (5),96,ONE (20),1,1.04%,Low Confusion
Transformer,IM FINE (5),96,FOUR (23),2,2.08%,Low Confusion
Transformer,IM FINE (5),96,SIX (25),1,1.04%,Low Confusion
Transformer,IM FINE (5),96,EIGHT (27),1,1.04%,Low Confusion
Transformer,IM FINE (5),96,FEBRUARY (31),1,1.04%,Low Confusion
Transformer,IM FINE (5),96,MARCH (32),2,2.08%,Low Confusion
Transformer,IM FINE (5),96,JULY (36),1,1.04%,Low Confusion
Transformer,IM FINE (5),96,AUGUST (37),1,1.04%,Low Confusion
Transformer,IM FINE (5),96,DECEMBER (41),1,1.04%,Low Confusion
Transformer,IM FINE (5),96,TOMORROW (50),1,1.04%,Low Confusion
Transformer,IM FINE (5),96,YESTERDAY (51),1,1.04%,Low Confusion
Transformer,IM FINE (5),96,DAUGHTER (55),1,1.04%,Low Confusion
Transformer,IM FINE (5),96,GRANDFATHER (56),1,1.04%,Low Confusion
Transformer,IM FINE (5),96,AUNTIE (59),3,3.13%,Low Confusion
Transformer,IM FINE (5),96,COUSIN (60),1,1.04%,Low Confusion
Transformer,IM FINE (5),96,DEAF (66),1,1.04%,Low Confusion
Transformer,IM FINE (5),96,DEAF BLIND (70),1,1.04%,Low Confusion
Transformer,IM FINE (5),96,BLACK (76),1,1.04%,Low Confusion
Transformer,IM FINE (5),96,ORANGE (79),1,1.04%,Low Confusion
Transformer,IM FINE (5),96,VIOLET (82),1,1.04%,Low Confusion
Transformer,IM FINE (5),96,LIGHT (83),1,1.04%,Low Confusion
Transformer,IM FINE (5),96,HOT (95),2,2.08%,Low Confusion
Transformer,IM FINE (5),96,COLD (96),1,1.04%,Low Confusion
Transformer,IM FINE (5),96,MILK (98),3,3.13%,Low Confusion
Transformer,IM FINE (5),96,COFFEE (99),1,1.04%,Low Confusion
Transformer,IM FINE (5),96,TEA (100),1,1.04%,Low Confusion
Transformer,IM FINE (5),96,SUGAR (103),1,1.04%,Low Confusion
Transformer,NICE TO MEET YOU (6),95,UNDERSTAND (10),1,1.05%,Low Confusion
Transformer,NICE TO MEET YOU (6),95,DON'T UNDERSTAND (11),1,1.05%,Low Confusion
Transformer,NICE TO MEET YOU (6),95,NO (14),1,1.05%,Low Confusion
Transformer,NICE TO MEET YOU (6),95,WRONG (16),1,1.05%,Low Confusion
Transformer,NICE TO MEET YOU (6),95,CORRECT (17),2,2.11%,Low Confusion
Transformer,NICE TO MEET YOU (6),95,SLOW (18),2,2.11%,Low Confusion
Transformer,NICE TO MEET YOU (6),95,THREE (22),1,1.05%,Low Confusion
Transformer,NICE TO MEET YOU (6),95,SIX (25),1,1.05%,Low Confusion
Transformer,NICE TO MEET YOU (6),95,EIGHT (27),2,2.11%,Low Confusion
Transformer,NICE TO MEET YOU (6),95,JANUARY (30),1,1.05%,Low Confusion
Transformer,NICE TO MEET YOU (6),95,FEBRUARY (31),1,1.05%,Low Confusion
Transformer,NICE TO MEET YOU (6),95,MARCH (32),1,1.05%,Low Confusion
Transformer,NICE TO MEET YOU (6),95,OCTOBER (39),1,1.05%,Low Confusion
Transformer,NICE TO MEET YOU (6),95,WEDNESDAY (44),1,1.05%,Low Confusion
Transformer,NICE TO MEET YOU (6),95,SUNDAY (48),1,1.05%,Low Confusion
Transformer,NICE TO MEET YOU (6),95,TOMORROW (50),2,2.11%,Low Confusion
Transformer,NICE TO MEET YOU (6),95,YESTERDAY (51),1,1.05%,Low Confusion
Transformer,NICE TO MEET YOU (6),95,FATHER (52),1,1.05%,Low Confusion
Transformer,NICE TO MEET YOU (6),95,SON (54),1,1.05%,Low Confusion
Transformer,NICE TO MEET YOU (6),95,AUNTIE (59),2,2.11%,Low Confusion
Transformer,NICE TO MEET YOU (6),95,BOY (62),1,1.05%,Low Confusion
Transformer,NICE TO MEET YOU (6),95,GIRL (63),1,1.05%,Low Confusion
Transformer,NICE TO MEET YOU (6),95,DEAF (66),2,2.11%,Low Confusion
Transformer,NICE TO MEET YOU (6),95,HARD OF HEARING (67),1,1.05%,Low Confusion
Transformer,NICE TO MEET YOU (6),95,DEAF BLIND (70),1,1.05%,Low Confusion
Transformer,NICE TO MEET YOU (6),95,MARRIED (71),3,3.16%,Low Confusion
Transformer,NICE TO MEET YOU (6),95,BLUE (72),1,1.05%,Low Confusion
Transformer,NICE TO MEET YOU (6),95,WHITE (77),1,1.05%,Low Confusion
Transformer,NICE TO MEET YOU (6),95,YELLOW (78),1,1.05%,Low Confusion
Transformer,NICE TO MEET YOU (6),95,GRAY (80),2,2.11%,Low Confusion
Transformer,NICE TO MEET YOU (6),95,BREAD (85),3,3.16%,Low Confusion
Transformer,NICE TO MEET YOU (6),95,SPAGHETTI (90),1,1.05%,Low Confusion
Transformer,NICE TO MEET YOU (6),95,MILK (98),2,2.11%,Low Confusion
Transformer,NICE TO MEET YOU (6),95,COFFEE (99),1,1.05%,Low Confusion
Transformer,NICE TO MEET YOU (6),95,TEA (100),1,1.05%,Low Confusion
Transformer,NICE TO MEET YOU (6),95,SUGAR (103),2,2.11%,Low Confusion
Transformer,THANK YOU (7),97,HOW ARE YOU (4),2,2.06%,Low Confusion
Transformer,THANK YOU (7),97,NO (14),2,2.06%,Low Confusion
Transformer,THANK YOU (7),97,YES (15),1,1.03%,Low Confusion
Transformer,THANK YOU (7),97,CORRECT (17),2,2.06%,Low Confusion
Transformer,THANK YOU (7),97,ONE (20),1,1.03%,Low Confusion
Transformer,THANK YOU (7),97,FEBRUARY (31),1,1.03%,Low Confusion
Transformer,THANK YOU (7),97,MARCH (32),1,1.03%,Low Confusion
Transformer,THANK YOU (7),97,MAY (34),1,1.03%,Low Confusion
Transformer,THANK YOU (7),97,NOVEMBER (40),2,2.06%,Low Confusion
Transformer,THANK YOU (7),97,THURSDAY (45),3,3.09%,Low Confusion
Transformer,THANK YOU (7),97,YESTERDAY (51),1,1.03%,Low Confusion
Transformer,THANK YOU (7),97,MOTHER (53),1,1.03%,Low Confusion
Transformer,THANK YOU (7),97,SON (54),1,1.03%,Low Confusion
Transformer,THANK YOU (7),97,DAUGHTER (55),1,1.03%,Low Confusion
Transformer,THANK YOU (7),97,UNCLE (58),1,1.03%,Low Confusion
Transformer,THANK YOU (7),97,PARENTS (61),2,2.06%,Low Confusion
Transformer,THANK YOU (7),97,WOMAN (65),1,1.03%,Low Confusion
Transformer,THANK YOU (7),97,DEAF (66),1,1.03%,Low Confusion
Transformer,THANK YOU (7),97,WEELCHAIR PERSON (68),1,1.03%,Low Confusion
Transformer,THANK YOU (7),97,DEAF BLIND (70),2,2.06%,Low Confusion
Transformer,THANK YOU (7),97,GREEN (73),1,1.03%,Low Confusion
Transformer,THANK YOU (7),97,ORANGE (79),2,2.06%,Low Confusion
Transformer,THANK YOU (7),97,PINK (81),1,1.03%,Low Confusion
Transformer,THANK YOU (7),97,VIOLET (82),1,1.03%,Low Confusion
Transformer,THANK YOU (7),97,BREAD (85),2,2.06%,Low Confusion
Transformer,THANK YOU (7),97,SPAGHETTI (90),1,1.03%,Low Confusion
Transformer,THANK YOU (7),97,RICE (91),2,2.06%,Low Confusion
Transformer,THANK YOU (7),97,HOT (95),1,1.03%,Low Confusion
Transformer,THANK YOU (7),97,JUICE (97),3,3.09%,Low Confusion
Transformer,THANK YOU (7),97,SUGAR (103),1,1.03%,Low Confusion
Transformer,THANK YOU (7),97,NO SUGAR (104),1,1.03%,Low Confusion
Transformer,YOURE WELCOME (8),102,GOOD EVENING (2),1,0.98%,Low Confusion
Transformer,YOURE WELCOME (8),102,KNOW (12),1,0.98%,Low Confusion
Transformer,YOURE WELCOME (8),102,DON'T KNOW (13),1,0.98%,Low Confusion
Transformer,YOURE WELCOME (8),102,YES (15),1,0.98%,Low Confusion
Transformer,YOURE WELCOME (8),102,FAST (19),1,0.98%,Low Confusion
Transformer,YOURE WELCOME (8),102,ONE (20),1,0.98%,Low Confusion
Transformer,YOURE WELCOME (8),102,FEBRUARY (31),2,1.96%,Low Confusion
Transformer,YOURE WELCOME (8),102,MARCH (32),1,0.98%,Low Confusion
Transformer,YOURE WELCOME (8),102,APRIL (33),2,1.96%,Low Confusion
Transformer,YOURE WELCOME (8),102,MAY (34),1,0.98%,Low Confusion
Transformer,YOURE WELCOME (8),102,JUNE (35),1,0.98%,Low Confusion
Transformer,YOURE WELCOME (8),102,AUGUST (37),2,1.96%,Low Confusion
Transformer,YOURE WELCOME (8),102,SEPTEMBER (38),1,0.98%,Low Confusion
Transformer,YOURE WELCOME (8),102,OCTOBER (39),1,0.98%,Low Confusion
Transformer,YOURE WELCOME (8),102,NOVEMBER (40),1,0.98%,Low Confusion
Transformer,YOURE WELCOME (8),102,TUESDAY (43),2,1.96%,Low Confusion
Transformer,YOURE WELCOME (8),102,WEDNESDAY (44),1,0.98%,Low Confusion
Transformer,YOURE WELCOME (8),102,FRIDAY (46),1,0.98%,Low Confusion
Transformer,YOURE WELCOME (8),102,SUNDAY (48),1,0.98%,Low Confusion
Transformer,YOURE WELCOME (8),102,FATHER (52),1,0.98%,Low Confusion
Transformer,YOURE WELCOME (8),102,MOTHER (53),1,0.98%,Low Confusion
Transformer,YOURE WELCOME (8),102,DAUGHTER (55),1,0.98%,Low Confusion
Transformer,YOURE WELCOME (8),102,GRANDFATHER (56),1,0.98%,Low Confusion
Transformer,YOURE WELCOME (8),102,GRANDMOTHER (57),5,4.90%,Low Confusion
Transformer,YOURE WELCOME (8),102,BOY (62),1,0.98%,Low Confusion
Transformer,YOURE WELCOME (8),102,GIRL (63),2,1.96%,Low Confusion
Transformer,YOURE WELCOME (8),102,MAN (64),2,1.96%,Low Confusion
Transformer,YOURE WELCOME (8),102,HARD OF HEARING (67),1,0.98%,Low Confusion
Transformer,YOURE WELCOME (8),102,WEELCHAIR PERSON (68),1,0.98%,Low Confusion
Transformer,YOURE WELCOME (8),102,WHITE (77),1,0.98%,Low Confusion
Transformer,YOURE WELCOME (8),102,YELLOW (78),1,0.98%,Low Confusion
Transformer,YOURE WELCOME (8),102,GRAY (80),1,0.98%,Low Confusion
Transformer,YOURE WELCOME (8),102,VIOLET (82),1,0.98%,Low Confusion
Transformer,YOURE WELCOME (8),102,LIGHT (83),1,0.98%,Low Confusion
Transformer,YOURE WELCOME (8),102,SPAGHETTI (90),3,2.94%,Low Confusion
Transformer,YOURE WELCOME (8),102,MILK (98),1,0.98%,Low Confusion
Transformer,YOURE WELCOME (8),102,COFFEE (99),2,1.96%,Low Confusion
Transformer,YOURE WELCOME (8),102,BEER (101),1,0.98%,Low Confusion
Transformer,SEE YOU TOMORROW (9),96,GOOD EVENING (2),1,1.04%,Low Confusion
Transformer,SEE YOU TOMORROW (9),96,UNDERSTAND (10),1,1.04%,Low Confusion
Transformer,SEE YOU TOMORROW (9),96,DONâ€™T UNDERSTAND (11),3,3.13%,Low Confusion
Transformer,SEE YOU TOMORROW (9),96,KNOW (12),1,1.04%,Low Confusion
Transformer,SEE YOU TOMORROW (9),96,NO (14),1,1.04%,Low Confusion
Transformer,SEE YOU TOMORROW (9),96,YES (15),1,1.04%,Low Confusion
Transformer,SEE YOU TOMORROW (9),96,WRONG (16),1,1.04%,Low Confusion
Transformer,SEE YOU TOMORROW (9),96,THREE (22),5,5.21%,Moderate Confusion
Transformer,SEE YOU TOMORROW (9),96,FOUR (23),1,1.04%,Low Confusion
Transformer,SEE YOU TOMORROW (9),96,SIX (25),1,1.04%,Low Confusion
Transformer,SEE YOU TOMORROW (9),96,SEVEN (26),2,2.08%,Low Confusion
Transformer,SEE YOU TOMORROW (9),96,TEN (29),2,2.08%,Low Confusion
Transformer,SEE YOU TOMORROW (9),96,MARCH (32),1,1.04%,Low Confusion
Transformer,SEE YOU TOMORROW (9),96,JULY (36),1,1.04%,Low Confusion
Transformer,SEE YOU TOMORROW (9),96,AUGUST (37),1,1.04%,Low Confusion
Transformer,SEE YOU TOMORROW (9),96,OCTOBER (39),1,1.04%,Low Confusion
Transformer,SEE YOU TOMORROW (9),96,DECEMBER (41),1,1.04%,Low Confusion
Transformer,SEE YOU TOMORROW (9),96,MONDAY (42),1,1.04%,Low Confusion
Transformer,SEE YOU TOMORROW (9),96,FRIDAY (46),1,1.04%,Low Confusion
Transformer,SEE YOU TOMORROW (9),96,SATURDAY (47),1,1.04%,Low Confusion
Transformer,SEE YOU TOMORROW (9),96,GRANDFATHER (56),1,1.04%,Low Confusion
Transformer,SEE YOU TOMORROW (9),96,UNCLE (58),1,1.04%,Low Confusion
Transformer,SEE YOU TOMORROW (9),96,PARENTS (61),1,1.04%,Low Confusion
Transformer,SEE YOU TOMORROW (9),96,DEAF (66),2,2.08%,Low Confusion
Transformer,SEE YOU TOMORROW (9),96,HARD OF HEARING (67),1,1.04%,Low Confusion
Transformer,SEE YOU TOMORROW (9),96,WEELCHAIR PERSON (68),1,1.04%,Low Confusion
Transformer,SEE YOU TOMORROW (9),96,BLIND (69),4,4.17%,Low Confusion
Transformer,SEE YOU TOMORROW (9),96,DEAF BLIND (70),1,1.04%,Low Confusion
Transformer,SEE YOU TOMORROW (9),96,RED (74),2,2.08%,Low Confusion
Transformer,SEE YOU TOMORROW (9),96,BLACK (76),2,2.08%,Low Confusion
