Per-Gloss Occlusion Performance � Transformer,,,,,,,,,
Gloss ID,Gloss Label,Occlusion,Total Ground Truth,Total TP,Total FP,Total FN,Precision,Recall,F1-score
93,SHRIMP,occluded,41,34,23,7,0.596491,0.829268,0.693878
94,CRAB,occluded,0,0,4,0,0,0,0
95,HOT,occluded,91,81,29,10,0.736364,0.89011,0.80597
96,COLD,occluded,20,18,8,2,0.692308,0.9,0.782609
97,JUICE,occluded,65,55,17,10,0.763889,0.846154,0.80292
98,MILK,occluded,6,6,35,0,0.146341,1,0.255319
99,COFFEE,occluded,41,34,19,7,0.641509,0.829268,0.723404
100,TEA,occluded,68,61,9,7,0.871429,0.897059,0.884058
101,BEER,occluded,53,46,15,7,0.754098,0.867925,0.807018
102,WINE,occluded,38,34,6,4,0.85,0.894737,0.871795
103,SUGAR,occluded,76,71,24,5,0.747368,0.934211,0.830409
104,NO SUGAR,occluded,61,53,26,8,0.670886,0.868852,0.757143
