"# Training Configuration: epochs=300, batch_size=128"
"# Learning Rate: 0.0007, Weight Decay: 8e-05, Alpha: 0.8, Beta: 0.2"
# Timestamp: 2025-11-01 03:54:01

epoch,train_loss,val_loss,val_gloss_acc,val_cat_acc,lr,epoch_time,gpu_memory_allocated,gpu_memory_reserved
1,4.160478591918945,4.139888501167297,0.019638648860958365,0.20109976433621368,0.0007,93.44803476333618,0.123403264,1.851785216
2,3.7560524940490723,3.784718370437622,0.04006284367635507,0.38256087981146897,0.0007,92.0935652256012,0.123403264,1.851785216
3,3.454335927963257,3.264917814731598,0.06952081696779261,0.5828750981932443,0.0007,92.08636784553528,0.123403264,1.851785216
4,2.99141526222229,2.9373173475265504,0.103299293008641,0.6614296936370778,0.0007,91.98975157737732,0.123403264,1.851785216
5,2.825009346008301,2.6465529680252073,0.12254516889238021,0.7293794186959938,0.0007,92.11011815071106,0.123403264,1.851785216
6,2.5267090797424316,2.47571347951889,0.14375490966221524,0.7588373919874313,0.0007,92.42658829689026,0.123403264,1.851785216
7,2.3619630336761475,2.4182132959365843,0.1563236449332286,0.7780832678711704,0.0007,92.04168200492859,0.123403264,1.851785216
8,2.3200204372406006,2.323923718929291,0.14925373134328357,0.7780832678711704,0.0007,92.17597484588623,0.123403264,1.851785216
9,2.2612802982330322,2.2192978501319884,0.17007069913589945,0.8067556952081697,0.0007,90.9643075466156,0.123403264,1.851785216
10,2.1631808280944824,2.0494309425354005,0.20109976433621368,0.861351139041634,0.0007,91.19870805740356,0.123403264,1.851785216
11,2.1099956035614014,1.9964669167995452,0.20227808326787117,0.8589945011783189,0.0007,92.2055311203003,0.123403264,1.851785216
12,1.989162564277649,1.9463476717472077,0.23527101335428122,0.8782403770620582,0.0007,92.29886436462402,0.123403264,1.851785216
13,1.9648622274398804,1.8906380593776704,0.24116260801256872,0.8813825608798115,0.0007,92.2925443649292,0.123403264,1.851785216
14,1.8135892152786255,1.792743331193924,0.2706205813040063,0.9057344854673999,0.0007,91.8079686164856,0.123403264,1.851785216
15,1.9720604419708252,1.8652562081813813,0.2588373919874313,0.870777690494894,0.0007,92.04946231842041,0.123403264,1.851785216
16,1.9775736331939697,2.116420233249664,0.2391987431264729,0.793401413982718,0.0007,92.30385875701904,0.123403264,1.851785216
17,1.7817500829696655,1.75234335064888,0.28908091123330715,0.8833464257659073,0.0007,91.56734013557434,0.123403264,1.851785216
18,1.850475788116455,1.8260460257530213,0.26826394344069127,0.8680282796543598,0.0007,91.7263708114624,0.123403264,1.851785216
19,1.7087525129318237,1.6632118344306945,0.32246661429693635,0.9021995286724274,0.0007,91.12717342376709,0.123403264,1.851785216
20,1.7221336364746094,1.597757625579834,0.35467399842890807,0.9190887666928516,0.0007,91.13192510604858,0.123403264,1.851785216
21,1.5737524032592773,1.5844350755214691,0.36252945797329145,0.9316575019638649,0.0007,90.63672208786011,0.123403264,1.851785216
22,1.5331095457077026,1.5707708656787873,0.36213668499607227,0.9206598586017282,0.0007,90.9096245765686,0.123403264,1.851785216
23,1.4523043632507324,1.499252200126648,0.39120188531029065,0.9316575019638649,0.0007,91.92746138572693,0.123403264,1.851785216
24,1.714853048324585,1.5410940289497375,0.36724273369992144,0.9210526315789473,0.0007,91.81389355659485,0.123403264,1.851785216
25,1.422607183456421,1.4728665471076965,0.391987431264729,0.9308719560094265,0.0007,92.73584079742432,0.123403264,1.851785216
26,1.4279165267944336,1.3943626940250398,0.4457973291437549,0.9465828750981933,0.0007,92.43813395500183,0.123403264,1.851785216
27,1.59396231174469,1.391162520647049,0.44029850746268656,0.9355852317360566,0.0007,91.64231538772583,0.123403264,1.851785216
28,1.8353898525238037,1.670647805929184,0.3330714846818539,0.8570306362922231,0.0007,91.39208793640137,0.123403264,1.851785216
29,1.3418813943862915,1.3460800886154174,0.4336213668499607,0.9438334642576591,0.0007,91.2479498386383,0.123403264,1.851785216
30,1.368272066116333,1.3009689927101136,0.4626865671641791,0.9489395129615082,0.0007,92.77120161056519,0.123403264,1.851785216
31,1.401395320892334,1.4821166455745698,0.3688138256087981,0.9088766692851532,0.0007,92.7419683933258,0.123403264,1.851785216
32,1.6421589851379395,1.4238003969192505,0.4183032207384132,0.9175176747839748,0.0007,92.83814716339111,0.123403264,1.851785216
33,1.2594101428985596,1.3298515617847442,0.45993715632364496,0.9214454045561665,0.0007,92.88846230506897,0.123403264,1.851785216
34,1.1952648162841797,1.2102602243423461,0.4964650432050275,0.9501178318931658,0.0007,91.02603006362915,0.123403264,1.851785216
35,1.1723121404647827,1.1262905955314637,0.5498821681068342,0.9571877454831108,0.0007,92.43847322463989,0.123403264,1.851785216
36,1.7424356937408447,1.4295432209968566,0.42812254516889237,0.8912018853102907,0.0007,91.7911639213562,0.123403264,1.851785216
37,1.3480629920959473,1.1487034678459167,0.525923016496465,0.9579732914375491,0.0007,92.31200623512268,0.123403264,1.851785216
38,1.120246410369873,1.058099275827408,0.5714846818538885,0.9760408483896308,0.0007,91.74569630622864,0.123403264,1.851785216
39,1.0728193521499634,1.1593985855579376,0.51885310290652,0.9391201885310291,0.0007,91.89366483688354,0.123403264,1.851785216
40,1.3185789585113525,1.1896791994571685,0.5435978004713276,0.9391201885310291,0.0007,91.2506730556488,0.123403264,1.851785216
41,0.9260397553443909,1.0868469148874282,0.5483110761979576,0.9654359780047133,0.0007,90.70233631134033,0.123403264,1.851785216
42,0.9703173041343689,1.070599290728569,0.5573448546739984,0.96700706991359,0.0007,92.28813362121582,0.123403264,1.851785216
43,1.007952332496643,1.0036572843790055,0.5864100549882169,0.9642576590730558,0.0007,92.24313354492188,0.123403264,1.851785216
44,1.0200812816619873,0.9927613973617554,0.5970149253731343,0.9685781618224666,0.0007,92.4669840335846,0.123403264,1.851785216
45,1.1144793033599854,1.1561177313327788,0.5530243519245875,0.9363707776904949,0.0007,92.45297503471375,0.123403264,1.851785216
46,1.0721651315689087,0.9673882901668549,0.6072270227808326,0.9685781618224666,0.0007,90.38117527961731,0.123403264,1.851785216
47,0.8847965598106384,0.9432554543018341,0.6284367635506677,0.9736842105263158,0.0007,92.2566704750061,0.123403264,1.851785216
48,0.9057051539421082,0.9077994763851166,0.631578947368421,0.9748625294579732,0.0007,91.91131830215454,0.123403264,1.851785216
49,0.8989089131355286,0.895449909567833,0.6335428122545169,0.97643362136685,0.0007,92.11188983917236,0.123403264,1.851785216
50,1.0088589191436768,0.9302464693784713,0.6264728986645719,0.9732914375490966,0.0007,92.06560254096985,0.123403264,1.851785216
51,0.8523825407028198,0.8605604887008667,0.654752553024352,0.9780047132757266,0.0007,92.06714129447937,0.123403264,1.851785216
52,1.9341481924057007,1.860819673538208,0.3566378633150039,0.8177533385703064,0.0007,92.36712765693665,0.123403264,1.851785216
53,1.2050365209579468,1.1105546951293945,0.5545954438334643,0.9265514532600158,0.0007,92.04566311836243,0.123403264,1.851785216
54,0.8799054622650146,0.8479349285364151,0.6696779261586803,0.97643362136685,0.0007,92.72915315628052,0.123403264,1.851785216
55,0.9210975766181946,0.8659636467695236,0.657109190887667,0.974076983503535,0.0007,91.79564261436462,0.123403264,1.851785216
56,1.0276247262954712,0.982340520620346,0.5840534171249018,0.959937156323645,0.0007,91.99283480644226,0.123403264,1.851785216
57,0.8046903610229492,0.7796653807163239,0.6869599371563236,0.9842890809112333,0.0007,90.76700353622437,0.123403264,1.851785216
58,0.8987599015235901,1.0433704048395156,0.5703063629222309,0.9552238805970149,0.0007,92.1657886505127,0.123403264,1.851785216
59,0.9254319071769714,0.7757266014814377,0.6889238020424194,0.98114689709348,0.0007,91.53137636184692,0.123403264,1.851785216
60,0.880681037902832,0.812668788433075,0.6637863315003928,0.9780047132757266,0.0007,90.91615438461304,0.123403264,1.851785216
61,0.7306704521179199,0.8275902450084687,0.6798900235663786,0.9685781618224666,0.0007,91.61375021934509,0.123403264,1.851785216
62,0.7789199948310852,0.7621636897325516,0.6885310290652004,0.9831107619795758,0.0007,91.07025241851807,0.123403264,1.851785216
63,0.7886332869529724,0.9511155515909195,0.6158680282796544,0.9587588373919874,0.0007,92.32195448875427,0.123403264,1.851785216
64,0.9032782316207886,0.8217791378498077,0.6716417910447762,0.9646504320502749,0.0007,91.77716207504272,0.123403264,1.851785216
65,0.8690164685249329,0.8203938335180283,0.6567164179104478,0.9681853888452474,0.0007,92.18564581871033,0.123403264,1.851785216
66,0.7446117401123047,0.704064404964447,0.7085624509033779,0.9807541241162608,0.0007,92.43459033966064,0.123403264,1.851785216
67,0.6419247984886169,0.7037584185600281,0.7097407698350353,0.9819324430479183,0.0007,91.71810674667358,0.123403264,1.851785216
68,0.7470117211341858,0.6960130989551544,0.7164179104477612,0.9838963079340142,0.0007,92.32608580589294,0.123403264,1.851785216
69,1.259440541267395,1.215612530708313,0.5675569520816968,0.9002356637863315,0.0007,90.97381544113159,0.123403264,1.851785216
70,0.7804355621337891,0.7633048832416535,0.6944226237234878,0.9736842105263158,0.0007,92.23364043235779,0.123403264,1.851785216
71,0.751421332359314,0.707229596376419,0.6975648075412412,0.98114689709348,0.0007,91.94949078559875,0.123403264,1.851785216
72,1.1394636631011963,1.0625098198652267,0.5813040062843676,0.9135899450117831,0.0007,91.54321527481079,0.123403264,1.851785216
73,0.8509132266044617,0.8888287454843521,0.638648860958366,0.9532600157109191,0.0007,91.30028414726257,0.123403264,1.851785216
74,0.7893275618553162,0.7567384392023087,0.6861743912018853,0.9642576590730558,0.0007,90.72543215751648,0.123403264,1.851785216
75,0.633550226688385,0.6814337819814682,0.7242733699921445,0.9803613511390417,0.0007,92.26402592658997,0.123403264,1.851785216
76,1.4805554151535034,1.1837979942560195,0.5526315789473685,0.8959151610369207,0.0007,92.4282808303833,0.123403264,1.851785216
77,0.7647872567176819,1.0459913849830627,0.598586017282011,0.9131971720345641,0.0007,91.69978666305542,0.123403264,1.851785216
78,0.7630272507667542,0.6496400684118271,0.7344854673998429,0.9780047132757266,0.0007,92.06012988090515,0.123403264,1.851785216
79,0.7038698792457581,0.6210049122571946,0.7494108405341713,0.9823252160251374,0.0007,92.52909731864929,0.123403264,1.851785216
