,GREETING,SURVIVAL,NUMBER,CALENDAR,DAYS,FAMILY,RELATIONSHIPS,COLOR,FOOD,DRINK
GREETING,43,21,20,34,14,30,25,22,59,19
SURVIVAL,41,22,18,28,20,31,23,29,59,26
NUMBER,38,25,14,27,20,22,17,31,41,19
CALENDAR,54,30,16,30,32,47,20,34,59,10
DAYS,43,21,16,28,20,29,21,29,61,15
FAMILY,38,24,14,23,18,52,22,32,47,16
RELATIONSHIPS,40,23,16,27,19,26,20,36,60,14
COLOR,50,26,18,29,25,41,31,49,60,16
FOOD,39,19,13,27,21,32,19,31,49,14
DRINK,37,22,10,34,26,37,15,31,57,16
