Gloss ID,Gloss Label,Occlusion,Total Ground Truth,Total TP,Total FP,Total FN,Precision,Recall,F1-score
76,BLACK,occluded,55,44,7,11,0.862745,0.800000,0.830189
77,WHITE,occluded,2,1,9,1,0.100000,0.500000,0.166667
78,YELLOW,occluded,2,2,9,0,0.181818,1.000000,0.307692
79,ORANGE,occluded,4,3,3,1,0.500000,0.750000,0.600000
80,GRAY,occluded,2,2,6,0,0.250000,1.000000,0.400000
81,PINK,occluded,76,48,21,28,0.695652,0.631579,0.662069
82,VIOLET,occluded,22,18,5,4,0.782609,0.818182,0.800000
83,LIGHT,occluded,66,58,9,8,0.865672,0.878788,0.872180
84,DARK,occluded,73,66,8,7,0.891892,0.904110,0.897959
85,BREAD,occluded,73,62,12,11,0.837838,0.849315,0.843537
86,EGG,occluded,21,17,6,4,0.739130,0.809524,0.772727
87,FISH,occluded,12,10,3,2,0.769231,0.833333,0.800000
88,MEAT,occluded,75,60,8,15,0.882353,0.800000,0.839161
89,CHICKEN,occluded,22,13,6,9,0.684211,0.590909,0.634146
90,SPAGHETTI,occluded,92,67,15,25,0.817073,0.728261,0.770115
91,RICE,occluded,38,28,16,10,0.636364,0.736842,0.682927
92,LONGANISA,occluded,25,14,21,11,0.400000,0.560000,0.466667
93,SHRIMP,occluded,41,28,17,13,0.622222,0.682927,0.651163
94,CRAB,occluded,0,0,6,0,0.000000,0.000000,0.000000
95,HOT,occluded,91,59,13,32,0.819444,0.648352,0.723926
96,COLD,occluded,20,17,4,3,0.809524,0.850000,0.829268
97,JUICE,occluded,65,48,13,17,0.786885,0.738462,0.761905
98,MILK,occluded,6,5,19,1,0.208333,0.833333,0.333333
99,COFFEE,occluded,41,30,4,11,0.882353,0.731707,0.800000
100,TEA,occluded,68,60,18,8,0.769231,0.882353,0.821918
101,BEER,occluded,53,43,6,10,0.877551,0.811321,0.843137
102,WINE,occluded,38,27,14,11,0.658537,0.710526,0.683544
103,SUGAR,occluded,76,24,17,52,0.585366,0.315789,0.410256
104,NO SUGAR,occluded,61,40,10,21,0.800000,0.655738,0.720721
