"# Training Configuration: epochs=300, batch_size=16"
"# Learning Rate: 0.0001, Weight Decay: 0.00025, Alpha: 0.8, Beta: 0.2"
# Timestamp: 2025-10-22 09:52:10

epoch,train_loss,val_loss,val_gloss_acc,val_cat_acc,lr,epoch_time,gpu_memory_allocated,gpu_memory_reserved
1,1.8881250619888306,1.8428339660167694,0.08536585365853659,1.0,1.36e-05,5.501085996627808,0.05862144,0.144703488
2,1.8181250095367432,1.8254826068878174,0.2682926829268293,1.0,1.7199999999999998e-05,4.465252876281738,0.05862144,0.144703488
3,1.8057812452316284,1.7970625907182693,0.26422764227642276,1.0,2.0799999999999997e-05,4.297694444656372,0.05862144,0.144703488
4,1.7748438119888306,1.7082681208848953,0.24390243902439024,1.0,2.4399999999999997e-05,4.5924317836761475,0.05862144,0.144703488
5,1.5357030630111694,1.4345953539013863,0.24390243902439024,1.0,2.7999999999999996e-05,4.522928953170776,0.05862144,0.144703488
6,1.433750033378601,1.302057422697544,0.36585365853658536,1.0,3.1599999999999996e-05,4.429373502731323,0.05862144,0.144703488
7,1.566015601158142,1.3040992692112923,0.25203252032520324,1.0,3.5199999999999995e-05,4.613262414932251,0.05862144,0.144703488
8,1.4173437356948853,1.266596458852291,0.3943089430894309,1.0,3.8799999999999994e-05,4.808856964111328,0.05862144,0.144703488
9,1.0678319931030273,1.1274554580450058,0.4878048780487805,1.0,4.24e-05,4.584949493408203,0.05862144,0.144703488
10,1.047949194908142,1.061681792140007,0.4268292682926829,1.0,4.600000000000001e-05,4.772664546966553,0.05862144,0.144703488
11,1.2076367139816284,0.9508676193654537,0.4959349593495935,1.0,4.9600000000000006e-05,4.656580448150635,0.05862144,0.144703488
12,0.9773730635643005,0.9073857516050339,0.5528455284552846,1.0,5.3200000000000006e-05,4.657006025314331,0.05862144,0.144703488
13,1.2764062881469727,0.8831571638584137,0.5121951219512195,1.0,5.680000000000001e-05,4.551527500152588,0.05862144,0.144703488
14,1.0640796422958374,0.8460212014615536,0.5894308943089431,1.0,6.0400000000000004e-05,4.631088495254517,0.05862144,0.144703488
15,0.5061554312705994,0.7291414588689804,0.5894308943089431,1.0,6.400000000000001e-05,4.781358957290649,0.05862144,0.144703488
16,0.8934082388877869,0.7222672924399376,0.6260162601626016,1.0,6.76e-05,4.777966499328613,0.05862144,0.144703488
17,0.6159106492996216,0.6735742446035147,0.6097560975609756,1.0,7.120000000000001e-05,4.607503175735474,0.05862144,0.144703488
18,0.8070665597915649,0.9876988008618355,0.540650406504065,1.0,7.480000000000002e-05,4.551447629928589,0.05862144,0.144703488
19,0.6527172923088074,0.6597289238125086,0.6463414634146342,1.0,7.840000000000001e-05,4.645560026168823,0.05862144,0.144703488
20,1.051149606704712,0.6537173334509134,0.6341463414634146,1.0,8.200000000000001e-05,4.635176181793213,0.05862144,0.144703488
21,0.6042081117630005,0.6443391963839531,0.6707317073170732,1.0,8.560000000000002e-05,4.607799053192139,0.05862144,0.144703488
22,0.4180445671081543,0.8080451656132936,0.573170731707317,1.0,8.920000000000003e-05,4.75353217124939,0.05862144,0.144703488
23,0.379649817943573,0.6006139479577541,0.6666666666666666,1.0,9.280000000000002e-05,4.510193347930908,0.05862144,0.144703488
24,0.4203763008117676,0.6401291098445654,0.6829268292682927,1.0,9.640000000000001e-05,4.578543424606323,0.05862144,0.144703488
25,0.8665949106216431,0.5645286180078983,0.7154471544715447,1.0,0.00010000000000000002,4.466294288635254,0.05862144,0.144703488
26,1.0644394159317017,0.9275175128132105,0.5691056910569106,1.0,9.999676998277918e-05,4.531809091567993,0.05862144,0.144703488
27,0.4862898886203766,0.6808372978121042,0.6382113821138211,1.0,9.998708035265243e-05,4.582698106765747,0.05862144,0.144703488
28,0.5293434262275696,0.5620256494730711,0.7113821138211383,1.0,9.997093237417219e-05,4.517794370651245,0.05862144,0.144703488
29,0.3839525878429413,0.5842579724267125,0.6869918699186992,1.0,9.994832815474246e-05,4.560009717941284,0.05862144,0.144703488
30,0.49914050102233887,0.559524280950427,0.7032520325203252,1.0,9.991927064434373e-05,4.78765082359314,0.05862144,0.144703488
31,0.7378993034362793,0.5134847071021795,0.7276422764227642,1.0,9.988376363514814e-05,4.563457489013672,0.05862144,0.144703488
32,0.17500244081020355,0.5359422620385885,0.7073170731707317,1.0,9.984181176102435e-05,4.5024573802948,0.05862144,0.144703488
33,0.4003131091594696,0.5013331919908524,0.7276422764227642,1.0,9.979342049693306e-05,4.605137825012207,0.05862144,0.144703488
34,0.5406543016433716,0.5597315784543753,0.7073170731707317,1.0,9.973859615821229e-05,4.504796266555786,0.05862144,0.144703488
35,0.8463765978813171,0.6101015135645866,0.7154471544715447,1.0,9.967734589975326e-05,4.581176280975342,0.05862144,0.144703488
36,0.44819375872612,0.5337907690554857,0.7317073170731707,1.0,9.960967771506668e-05,4.330035448074341,0.05862144,0.144703488
37,0.6168567538261414,0.5600673891603947,0.7113821138211383,1.0,9.953560043523948e-05,4.785557985305786,0.05862144,0.144703488
38,0.45921921730041504,0.4769973624497652,0.7398373983739838,1.0,9.945512372778235e-05,4.632094144821167,0.05862144,0.144703488
39,0.30467525124549866,0.6600027214735746,0.7073170731707317,1.0,9.936825809536808e-05,4.773158311843872,0.05862144,0.144703488
40,0.4365096986293793,0.5907969977706671,0.7235772357723578,1.0,9.927501487446082e-05,4.722079038619995,0.05862144,0.144703488
41,0.7927757501602173,0.5163751840591431,0.7560975609756098,1.0,9.917540623383672e-05,4.692785024642944,0.05862144,0.144703488
42,0.5237674713134766,0.4263046747073531,0.7804878048780488,1.0,9.906944517299577e-05,4.40830659866333,0.05862144,0.144703488
43,0.5860995650291443,0.44378193840384483,0.7560975609756098,1.0,9.895714552046529e-05,4.622393608093262,0.05862144,0.144703488
44,0.5311254262924194,0.439912679605186,0.7682926829268293,1.0,9.883852193199521e-05,4.574928522109985,0.05862144,0.144703488
45,0.3152301013469696,0.447203753516078,0.7723577235772358,1.0,9.871358988864554e-05,4.671661138534546,0.05862144,0.144703488
46,0.45476603507995605,0.464550007134676,0.7926829268292683,1.0,9.858236569476576e-05,4.5199058055877686,0.05862144,0.144703488
47,0.4480862617492676,0.3920505400747061,0.7804878048780488,1.0,9.844486647586726e-05,4.6801910400390625,0.05862144,0.144703488
48,0.34888511896133423,0.4881995599716902,0.7439024390243902,1.0,9.830111017638823e-05,4.53105092048645,0.05862144,0.144703488
