"# Training Configuration: epochs=300, batch_size=16"
"# Learning Rate: 0.0001, Weight Decay: 0.00025, Alpha: 0.8, Beta: 0.2"
# Timestamp: 2025-10-22 10:03:58

epoch,train_loss,val_loss,val_gloss_acc,val_cat_acc,lr,epoch_time,gpu_memory_allocated,gpu_memory_reserved
1,1.8242969512939453,1.8915352672338486,0.11788617886178862,1.0,1.36e-05,4.518957614898682,0.018371072,0.048234496
2,1.9603124856948853,1.8792726770043373,0.11788617886178862,1.0,1.7199999999999998e-05,3.508133888244629,0.018371072,0.048234496
3,1.9028126001358032,1.8692170083522797,0.11788617886178862,1.0,2.0799999999999997e-05,3.623162031173706,0.018371072,0.048234496
4,1.8349218368530273,1.862430363893509,0.12195121951219512,1.0,2.4399999999999997e-05,3.5889828205108643,0.018371072,0.048234496
5,1.9193750619888306,1.8574940860271454,0.11788617886178862,1.0,2.7999999999999996e-05,3.3820478916168213,0.018371072,0.048234496
6,1.8273438215255737,1.853453554213047,0.11382113821138211,1.0,3.1599999999999996e-05,3.424669027328491,0.018371072,0.048234496
7,1.8384374380111694,1.850270539522171,0.10569105691056911,1.0,3.5199999999999995e-05,3.680689573287964,0.018371072,0.048234496
8,1.8784373998641968,1.8477560356259346,0.1016260162601626,1.0,3.8799999999999994e-05,3.766627073287964,0.018371072,0.048234496
9,1.8057812452316284,1.846285343170166,0.09349593495934959,1.0,4.24e-05,3.6552703380584717,0.018371072,0.048234496
10,1.8580468893051147,1.843471199274063,0.0975609756097561,1.0,4.600000000000001e-05,3.6952576637268066,0.018371072,0.048234496
11,1.7974218130111694,1.8419454246759415,0.12195121951219512,1.0,4.9600000000000006e-05,3.587404251098633,0.018371072,0.048234496
12,1.7865625619888306,1.8401016294956207,0.0975609756097561,1.0,5.3200000000000006e-05,3.665057420730591,0.018371072,0.048234496
13,1.8909374475479126,1.83747960627079,0.1016260162601626,1.0,5.680000000000001e-05,3.4648447036743164,0.018371072,0.048234496
14,1.8090626001358032,1.8352064564824104,0.1016260162601626,1.0,6.0400000000000004e-05,3.5623762607574463,0.018371072,0.048234496
15,1.8810938596725464,1.8311412632465363,0.0975609756097561,1.0,6.400000000000001e-05,3.5300099849700928,0.018371072,0.048234496
16,1.7978124618530273,1.825991615653038,0.12195121951219512,1.0,6.76e-05,3.4252164363861084,0.018371072,0.048234496
17,1.8073437213897705,1.8169056922197342,0.0975609756097561,1.0,7.120000000000001e-05,3.4971983432769775,0.018371072,0.048234496
18,1.8560937643051147,1.804201491177082,0.14634146341463414,1.0,7.480000000000002e-05,3.4598629474639893,0.018371072,0.048234496
19,1.7790625095367432,1.7869647964835167,0.13821138211382114,1.0,7.840000000000001e-05,3.583047866821289,0.018371072,0.048234496
20,1.8157812356948853,1.7656570300459862,0.17479674796747968,1.0,8.200000000000001e-05,3.5292694568634033,0.018371072,0.048234496
21,1.7632030248641968,1.7382883802056313,0.1991869918699187,1.0,8.560000000000002e-05,3.5313820838928223,0.018371072,0.048234496
22,1.7776561975479126,1.7081072255969048,0.2073170731707317,1.0,8.920000000000003e-05,3.6111550331115723,0.018371072,0.048234496
23,1.6803125143051147,1.6688917353749275,0.2073170731707317,1.0,9.280000000000002e-05,3.4666566848754883,0.018371072,0.048234496
24,1.771093726158142,1.6277557164430618,0.22357723577235772,1.0,9.640000000000001e-05,3.455075263977051,0.018371072,0.048234496
25,1.5676172971725464,1.5820761397480965,0.23170731707317074,1.0,0.00010000000000000002,3.6004748344421387,0.018371072,0.048234496
26,1.549414038658142,1.5358183905482292,0.2601626016260163,1.0,9.999676998277918e-05,3.642364025115967,0.018371072,0.048234496
27,1.5467188358306885,1.4913727045059204,0.2682926829268293,1.0,9.998708035265243e-05,3.6356678009033203,0.018371072,0.048234496
28,1.4445313215255737,1.4496335238218307,0.2764227642276423,1.0,9.997093237417219e-05,3.6202239990234375,0.018371072,0.048234496
29,1.4480860233306885,1.4097048193216324,0.2764227642276423,1.0,9.994832815474246e-05,3.7115323543548584,0.018371072,0.048234496
30,1.3926953077316284,1.3754644840955734,0.34146341463414637,1.0,9.991927064434373e-05,3.793874979019165,0.018371072,0.048234496
31,1.4754687547683716,1.343340165913105,0.33739837398373984,1.0,9.988376363514814e-05,3.608701467514038,0.018371072,0.048234496
32,1.6521875858306885,1.3150419369339943,0.3821138211382114,1.0,9.984181176102435e-05,3.6773293018341064,0.018371072,0.048234496
33,1.2443751096725464,1.2894634753465652,0.3861788617886179,1.0,9.979342049693306e-05,3.7864742279052734,0.018371072,0.048234496
34,1.6110156774520874,1.2629974782466888,0.4268292682926829,1.0,9.973859615821229e-05,3.4419009685516357,0.018371072,0.048234496
35,1.4935938119888306,1.2470849379897118,0.43089430894308944,1.0,9.967734589975326e-05,3.3857829570770264,0.018371072,0.048234496
36,1.2922656536102295,1.2191455662250519,0.46747967479674796,1.0,9.960967771506668e-05,3.6119606494903564,0.018371072,0.048234496
37,1.2624609470367432,1.2058017775416374,0.45121951219512196,1.0,9.953560043523948e-05,3.6202337741851807,0.018371072,0.048234496
38,1.2362695932388306,1.1796548403799534,0.47560975609756095,1.0,9.945512372778235e-05,3.6053435802459717,0.018371072,0.048234496
39,1.3091015815734863,1.1578238680958748,0.4796747967479675,1.0,9.936825809536808e-05,3.4432907104492188,0.018371072,0.048234496
40,1.4762500524520874,1.1365041099488735,0.4634146341463415,1.0,9.927501487446082e-05,3.4776949882507324,0.018371072,0.048234496
41,1.1572656631469727,1.1167858503758907,0.4715447154471545,1.0,9.917540623383672e-05,3.289909601211548,0.018371072,0.048234496
42,1.39669930934906,1.095749206840992,0.4796747967479675,1.0,9.906944517299577e-05,3.5419106483459473,0.018371072,0.048234496
43,1.3712695837020874,1.0815022364258766,0.4796747967479675,1.0,9.895714552046529e-05,3.7758724689483643,0.018371072,0.048234496
44,1.3810547590255737,1.0727538876235485,0.483739837398374,1.0,9.883852193199521e-05,3.5510191917419434,0.018371072,0.048234496
45,1.2132421731948853,1.0525980554521084,0.4878048780487805,1.0,9.871358988864554e-05,3.574220657348633,0.018371072,0.048234496
46,1.6346094608306885,1.0613949671387672,0.45934959349593496,1.0,9.858236569476576e-05,3.4703197479248047,0.018371072,0.048234496
47,0.6553564667701721,1.0355204306542873,0.4959349593495935,1.0,9.844486647586726e-05,3.434166193008423,0.018371072,0.048234496
48,1.1212793588638306,1.0322397649288177,0.483739837398374,1.0,9.830111017638823e-05,3.652693748474121,0.018371072,0.048234496
49,0.9154149889945984,1.0122698843479156,0.5203252032520326,1.0,9.815111555735179e-05,3.5529966354370117,0.018371072,0.048234496
50,1.5455859899520874,1.0052485801279545,0.508130081300813,1.0,9.799490219391766e-05,3.818026065826416,0.018371072,0.048234496
51,1.1070507764816284,0.9955807663500309,0.5121951219512195,1.0,9.78324904728274e-05,3.669719696044922,0.018371072,0.048234496
52,1.34542977809906,1.0094704404473305,0.4634146341463415,1.0,9.766390158974388e-05,3.5980775356292725,0.018371072,0.048234496
