epoch,train_loss,val_loss,lr,epoch_time,gpu_memory_allocated,gpu_memory_reserved
1,76.38507655359084,3.382273346185684,0.0005,5.8759965896606445,0.13424128,0.434110464
2,3.7341980857233845,2.7651550471782684,0.0005,5.466159343719482,0.134406144,0.434110464
3,2.9638944287453928,2.7500371634960175,0.0005,5.458230257034302,0.134571008,0.434110464
4,2.7857790070195354,2.7768494486808777,0.0005,5.4320666790008545,0.134488576,0.434110464
5,2.7249198421355216,2.8027201890945435,0.0005,5.452421426773071,0.134983168,0.434110464
6,2.6885367208911526,2.8180908858776093,0.0005,5.289732456207275,0.134488576,0.434110464
7,2.6655064167514926,2.8275522589683533,0.0005,5.335683584213257,0.133911552,0.434110464
8,2.6594307730274815,2.8308481872081757,0.0005,5.313235759735107,0.134571008,0.434110464
9,2.649172736752418,2.8308266401290894,0.0005,5.237691640853882,0.134488576,0.434110464
10,2.639538780335457,2.827939212322235,0.0005,5.242180585861206,0.134076416,0.434110464
11,2.6362681235036542,2.8269675970077515,0.0005,5.281160831451416,0.134736384,0.434110464
12,2.6330952875075804,2.8214104771614075,0.0005,5.261343955993652,0.135313408,0.434110464
13,2.6265426912615375,2.823317378759384,0.0005,5.315696716308594,0.13382912,0.434110464
14,2.624998261851649,2.815363109111786,0.0005,5.259115934371948,0.135808512,0.434110464
15,2.614614940458728,2.809404045343399,0.0005,5.218878984451294,0.134488576,0.434110464
16,2.6164824501160653,2.806110769510269,0.0005,5.283037900924683,0.135642624,0.434110464
17,2.61385360071736,2.80319681763649,0.0005,5.248651504516602,0.134076416,0.434110464
18,2.6081197261810303,2.7965420484542847,0.0005,5.222177982330322,0.134818304,0.434110464
19,2.6011150113997923,2.795732319355011,0.00025,5.190736532211304,0.136055296,0.434110464
20,2.596515647826656,2.7874042689800262,0.00025,5.302968263626099,0.134736384,0.434110464
21,2.598978788621964,2.787387937307358,0.00025,5.248703479766846,0.13424128,0.434110464
22,2.5937676429748535,2.781435966491699,0.00025,5.255192279815674,0.133911552,0.434110464
23,2.5913996004289195,2.77659672498703,0.00025,5.227657079696655,0.134983168,0.434110464
24,2.5860493413863646,2.77313956618309,0.00025,5.216959476470947,0.134406144,0.434110464
25,2.578801585781959,2.772398680448532,0.00025,5.321300983428955,0.135642624,0.434110464
26,2.5829120297585764,2.768320679664612,0.00025,5.324043035507202,0.13415936,0.434110464
27,2.578120708465576,2.768855005502701,0.00025,5.302328586578369,0.133993984,0.434110464
28,2.5742334396608415,2.7648779153823853,0.00025,5.34401273727417,0.134323712,0.434110464
29,2.570051746983682,2.7633273005485535,0.00025,5.305222272872925,0.135560192,0.434110464
30,2.5675141119187876,2.7557804882526398,0.00025,5.415898561477661,0.134900736,0.434110464
