Model,Total Ground Truth,Total TP,Total FP,Total FN,Precision,Recall,F1-score
Transformer,9622,8265,3857,1357,0.6861,0.859131,0.761866
IV3-GRU,9622,3846,5109,5776,0.450044,0.400111,0.408136
