============================================================
DATA LOADING
============================================================
✓ Loaded data successfully
  - Gloss classes: 105
  - Category classes: 10

============================================================
DATASET PREPARATION
============================================================
✓ Created datasets and data loaders
  - Batch size: 32
  - Training batches: 54
  - Validation batches: 14

============================================================
MODEL SELECTION
============================================================
Available models:
- transformer: Multi-head attention transformer
- iv3_gru: InceptionV3 + GRU hybrid
✓ Using SignTransformer model

Model Information:
  - Model type: SignTransformer
  - Total parameters: 3,280,627
  - Trainable parameters: 3,280,627
  - Model size: 12.5 MB

============================================================
TRAINING START
============================================================
Resumed from shared/transformer_low-acc_09-15/SignTransformer_last.pt at epoch 30 (best_metric=0.2887)
Training for 70 epochs...
Loss weights - Gloss: 0.5, Category: 0.5
------------------------------------------------------------
Epoch 73/100 | Train Loss: 0.5721 | Val Loss: 1.4117 | Val Gloss Acc: 0.437 | Val Cat Acc: 0.751
Epoch 74/100 | Train Loss: 0.5515 | Val Loss: 1.3819 | Val Gloss Acc: 0.462 | Val Cat Acc: 0.751
Epoch 75/100 | Train Loss: 0.5542 | Val Loss: 1.5342 | Val Gloss Acc: 0.453 | Val Cat Acc: 0.746
Epoch 76/100 | Train Loss: 0.5307 | Val Loss: 1.3367 | Val Gloss Acc: 0.479 | Val Cat Acc: 0.756
Epoch 77/100 | Train Loss: 0.5925 | Val Loss: 1.3139 | Val Gloss Acc: 0.474 | Val Cat Acc: 0.770
Epoch 78/100 | Train Loss: 0.5182 | Val Loss: 1.4567 | Val Gloss Acc: 0.453 | Val Cat Acc: 0.761
Epoch 79/100 | Train Loss: 0.5033 | Val Loss: 1.3572 | Val Gloss Acc: 0.462 | Val Cat Acc: 0.756
Epoch 80/100 | Train Loss: 0.5191 | Val Loss: 1.3252 | Val Gloss Acc: 0.472 | Val Cat Acc: 0.765
Epoch 81/100 | Train Loss: 0.5008 | Val Loss: 1.4680 | Val Gloss Acc: 0.462 | Val Cat Acc: 0.746
Epoch 82/100 | Train Loss: 0.5174 | Val Loss: 1.4541 | Val Gloss Acc: 0.481 | Val Cat Acc: 0.751
Epoch 83/100 | Train Loss: 0.4837 | Val Loss: 1.2937 | Val Gloss Acc: 0.469 | Val Cat Acc: 0.791
Epoch 84/100 | Train Loss: 0.4274 | Val Loss: 1.3425 | Val Gloss Acc: 0.495 | Val Cat Acc: 0.763
Epoch 85/100 | Train Loss: 0.4416 | Val Loss: 1.3272 | Val Gloss Acc: 0.498 | Val Cat Acc: 0.775
Epoch 86/100 | Train Loss: 0.4072 | Val Loss: 1.3835 | Val Gloss Acc: 0.481 | Val Cat Acc: 0.782
Epoch 87/100 | Train Loss: 0.3889 | Val Loss: 1.4284 | Val Gloss Acc: 0.481 | Val Cat Acc: 0.761
Epoch 88/100 | Train Loss: 0.4156 | Val Loss: 1.3582 | Val Gloss Acc: 0.477 | Val Cat Acc: 0.782
Epoch 89/100 | Train Loss: 0.4064 | Val Loss: 1.4589 | Val Gloss Acc: 0.477 | Val Cat Acc: 0.779
Epoch 90/100 | Train Loss: 0.3922 | Val Loss: 1.3857 | Val Gloss Acc: 0.493 | Val Cat Acc: 0.793
Epoch 91/100 | Train Loss: 0.3665 | Val Loss: 1.4273 | Val Gloss Acc: 0.472 | Val Cat Acc: 0.779
Epoch 92/100 | Train Loss: 0.3826 | Val Loss: 1.3480 | Val Gloss Acc: 0.516 | Val Cat Acc: 0.784
Epoch 93/100 | Train Loss: 0.3489 | Val Loss: 1.4695 | Val Gloss Acc: 0.491 | Val Cat Acc: 0.768
Epoch 94/100 | Train Loss: 0.3759 | Val Loss: 1.3483 | Val Gloss Acc: 0.526 | Val Cat Acc: 0.784
Epoch 95/100 | Train Loss: 0.3797 | Val Loss: 1.5701 | Val Gloss Acc: 0.479 | Val Cat Acc: 0.737
Epoch 96/100 | Train Loss: 0.4139 | Val Loss: 1.4554 | Val Gloss Acc: 0.495 | Val Cat Acc: 0.763
Epoch 97/100 | Train Loss: 0.3682 | Val Loss: 1.4040 | Val Gloss Acc: 0.491 | Val Cat Acc: 0.777
Epoch 98/100 | Train Loss: 0.3047 | Val Loss: 1.4349 | Val Gloss Acc: 0.505 | Val Cat Acc: 0.779
Epoch 99/100 | Train Loss: 0.3089 | Val Loss: 1.4672 | Val Gloss Acc: 0.495 | Val Cat Acc: 0.793
Epoch 100/100 | Train Loss: 0.3145 | Val Loss: 1.4060 | Val Gloss Acc: 0.514 | Val Cat Acc: 0.782
------------------------------------------------------------
Training completed!
