,GREETING,SURVIVAL,NUMBER,CALENDAR,DAYS,FAMILY,RELATIONSHIPS,COLOR,FOOD,DRINK
GREETING,545,30,31,56,24,44,41,25,68,10
SURVIVAL,150,374,28,47,41,65,34,34,81,16
NUMBER,67,56,360,58,52,60,26,39,76,23
CALENDAR,58,37,32,532,35,47,32,37,59,14
DAYS,98,40,38,47,329,97,31,32,91,25
FAMILY,66,35,22,57,51,401,57,39,91,21
RELATIONSHIPS,84,25,39,53,35,97,295,53,139,16
COLOR,57,30,29,80,35,96,62,263,192,19
FOOD,73,24,18,46,25,42,32,50,464,23
DRINK,90,44,34,57,32,52,37,86,185,219
