gloss_id,gloss_label,iv3gru_occluded_tp,iv3gru_occluded_fp,iv3gru_occluded_fn,iv3gru_occluded_count,iv3gru_nonoccluded_tp,iv3gru_nonoccluded_fp,iv3gru_nonoccluded_fn,iv3gru_nonoccluded_count,iv3gru_combined_tp,iv3gru_combined_fp,iv3gru_combined_fn,iv3gru_combined_count,transformer_occluded_tp,transformer_occluded_fp,transformer_occluded_fn,transformer_occluded_count,transformer_nonoccluded_tp,transformer_nonoccluded_fp,transformer_nonoccluded_fn,transformer_nonoccluded_count,transformer_combined_tp,transformer_combined_fp,transformer_combined_fn,transformer_combined_count
44,WEDNESDAY,28,97,2,30,49,97,15,64,77,97,17,94,27,12,3,30,60,12,4,64,87,12,7,94
45,THURSDAY,38,43,3,41,45,43,12,57,83,43,15,98,40,10,1,41,56,10,1,57,96,10,2,98
46,FRIDAY,18,20,24,42,17,20,34,51,35,20,58,93,38,8,4,42,47,8,4,51,85,8,8,93
47,SATURDAY,36,20,9,45,37,20,11,48,73,20,20,93,41,15,4,45,39,15,9,48,80,15,13,93
48,SUNDAY,42,27,8,50,31,27,12,43,73,27,20,93,44,27,6,50,36,27,7,43,80,27,13,93
49,TODAY,1,27,0,1,63,27,27,90,64,27,27,91,1,21,0,1,79,21,11,90,80,21,11,91
50,TOMORROW,21,49,9,30,35,49,31,66,56,49,40,96,25,52,5,30,53,52,13,66,78,52,18,96
51,YESTERDAY,1,26,14,15,8,26,70,78,9,26,84,93,12,27,3,15,70,27,8,78,82,27,11,93
52,FATHER,23,20,25,48,20,20,26,46,43,20,51,94,41,28,7,48,37,28,9,46,78,28,16,94
53,MOTHER,17,25,65,82,0,25,14,14,17,25,79,96,67,94,15,82,6,94,8,14,73,94,23,96
54,SON,29,16,61,90,2,16,4,6,31,16,65,96,79,24,11,90,5,24,1,6,84,24,12,96
55,DAUGHTER,54,17,21,75,21,17,10,31,75,17,31,106,68,50,7,75,28,50,3,31,96,50,10,106
56,GRANDFATHER,64,14,24,88,9,14,2,11,73,14,26,99,75,22,13,88,10,22,1,11,85,22,14,99
57,GRANDMOTHER,64,62,18,82,12,62,2,14,76,62,20,96,77,32,5,82,10,32,4,14,87,32,9,96
58,UNCLE,0,27,1,1,71,27,25,96,71,27,26,97,1,18,0,1,81,18,15,96,82,18,15,97
59,AUNTIE,0,29,1,1,52,29,44,96,52,29,45,97,0,67,1,1,87,67,9,96,87,67,10,97
60,COUSIN,0,43,0,0,70,43,25,95,70,43,25,95,0,32,0,0,79,32,16,95,79,32,16,95
61,PARENTS,70,13,21,91,1,13,2,3,71,13,23,94,75,37,16,91,3,37,0,3,78,37,16,94
62,BOY,8,10,30,38,30,10,24,54,38,10,54,92,32,21,6,38,46,21,8,54,78,21,14,92
63,GIRL,17,79,20,37,43,79,22,65,60,79,42,102,35,37,2,37,57,37,8,65,92,37,10,102
64,MAN,15,24,24,39,13,24,38,51,28,24,62,90,33,22,6,39,46,22,5,51,79,22,11,90
65,WOMAN,40,27,9,49,31,27,16,47,71,27,25,96,44,28,5,49,40,28,7,47,84,28,12,96
66,DEAF,61,73,19,80,10,73,5,15,71,73,24,95,67,99,13,80,12,99,3,15,79,99,16,95
