epoch,train_loss,val_loss,lr,epoch_time,gpu_memory_allocated,gpu_memory_reserved
1,57.57689235249504,2.6359612196683884,2.4500000000000003e-05,5.848257064819336,0.25004544,0.452984832
2,2.5462923284436836,2.3179797530174255,2.9000000000000004e-05,5.208158493041992,0.248905728,0.452984832
3,2.263827187116029,2.122076600790024,3.35e-05,5.113047122955322,0.248966656,0.452984832
4,2.1798737381325393,2.1263992339372635,3.8e-05,4.977096319198608,0.248890368,0.452984832
5,2.0818004569069286,2.099368676543236,4.25e-05,5.0377631187438965,0.248935936,0.452984832
6,2.0009567796206866,1.756737358868122,4.7000000000000004e-05,5.002485752105713,0.248890368,0.452984832
7,1.596455615074908,1.1500761173665524,5.1500000000000005e-05,5.030041456222534,0.248882688,0.452984832
8,1.1218807023079669,0.9226577617228031,5.6000000000000006e-05,5.0072503089904785,0.248921088,0.452984832
9,1.0029138307102392,0.8278377838432789,6.05e-05,5.032862424850464,0.248974336,0.455081984
10,0.8749848697029177,0.8994840234518051,6.5e-05,5.037984132766724,0.248928256,0.452984832
11,0.8070863157999321,0.921941053122282,6.95e-05,5.035926580429077,0.248905728,0.452984832
12,0.7800001247984464,0.7741112187504768,7.4e-05,5.07424259185791,0.248890368,0.452984832
13,0.6935573127426085,1.0674611814320087,7.85e-05,4.992532968521118,0.248966656,0.455081984
14,0.7347478114190649,0.7359187286347151,8.3e-05,5.036163806915283,0.248974336,0.452984832
15,0.6878142161447494,0.9199736434966326,8.75e-05,4.95873761177063,0.248935936,0.452984832
16,0.7882157725388886,0.6759823672473431,9.2e-05,4.878722190856934,0.248882688,0.452984832
17,0.6361738238178316,0.6631298810243607,9.650000000000001e-05,5.2230024337768555,0.248951808,0.452984832
18,0.6286495884910959,0.6964509543031454,0.00010100000000000002,4.836526393890381,0.248905728,0.452984832
19,0.6907741937969551,0.6070771906524897,0.00010550000000000002,4.903258800506592,0.248928256,0.452984832
20,0.5790166095143459,0.5232839565724134,0.00011000000000000003,4.9222493171691895,0.24889856,0.452984832
21,0.6922113328683571,0.877138301730156,0.00011450000000000005,4.847070932388306,0.248958976,0.452984832
22,0.5310030249787159,0.8220172934234142,0.00011900000000000005,4.828867673873901,0.248905728,0.452984832
23,0.5475189519710228,0.5265642590820789,0.00012350000000000005,5.1438307762146,0.248989696,0.457179136
24,0.552008498398984,0.6705983895808458,0.00012800000000000005,5.536017179489136,0.248882688,0.452984832
25,0.4684054155330189,0.48504998348653316,0.00013250000000000005,5.305022954940796,0.248944128,0.455081984
26,0.42585084452980854,0.5029326155781746,0.00013700000000000005,5.154824733734131,0.24889856,0.452984832
27,0.35560516243586776,0.49175968766212463,0.00014150000000000005,5.095097303390503,0.248913408,0.452984832
28,0.4268070083172595,0.465113265439868,0.00014600000000000005,5.198904037475586,0.248928256,0.452984832
29,0.4675286573464753,0.5883182846009731,0.00015050000000000005,5.223522901535034,0.248890368,0.452984832
30,0.3650868494735389,0.5461976900696754,0.00015500000000000005,5.108741760253906,0.248966656,0.455081984
31,0.32108936693946843,0.41264406219124794,0.00015950000000000006,5.072663307189941,0.248935936,0.452984832
32,0.25170007167903125,0.44508046424016356,0.00016400000000000006,5.293357849121094,0.248921088,0.452984832
33,0.27088813715782323,0.34568328713066876,0.00016850000000000003,5.350533962249756,0.248859648,0.452984832
34,0.2578149129804529,0.5400165785104036,0.00017300000000000003,5.2563629150390625,0.248966656,0.455081984
35,0.20693012152905346,0.4891937035135925,0.0001775,4.294900894165039,0.250050048,0.452984832
36,0.32627607729347025,0.4620443624444306,0.000182,4.287386655807495,0.248859648,0.452984832
37,0.23927829603924125,0.2894742039497942,0.00018649999999999998,5.25470495223999,0.248935936,0.452984832
38,0.21359288385595943,0.35046751145273447,0.00019099999999999998,5.108635663986206,0.248989696,0.455081984
39,0.18934134949670464,0.2843582695350051,0.00019549999999999995,5.012073993682861,0.248951808,0.452984832
40,0.21830098465329312,0.2500825161114335,0.00019999999999999996,4.982514142990112,0.248875008,0.452984832
41,0.20097761468381667,0.24436833546496928,0.0001999927730847054,4.981420516967773,0.248851968,0.452984832
42,0.18625312713814562,0.4050137579906732,0.00019997109339393905,4.9643213748931885,0.248905728,0.452984832
