epoch,train_loss,val_loss,lr,epoch_time,gpu_memory_allocated,gpu_memory_reserved
1,47.63426518049396,2.9746084064245224,1.3000000000000001e-05,2.24692440032959,0.051226112,0.161480704
2,2.2729057444900764,2.4429355561733246,1.6000000000000003e-05,1.7650022506713867,0.05127168,0.161480704
3,2.0932134741642434,2.289071023464203,1.9000000000000004e-05,1.8814351558685303,0.051397632,0.159383552
4,1.9912984586152873,2.1047815084457397,2.2000000000000006e-05,1.7947211265563965,0.051218432,0.161480704
5,1.93223644866318,2.0706443190574646,2.5000000000000008e-05,1.8786404132843018,0.051398144,0.159383552
6,1.8760342168026283,1.9872309863567352,2.8000000000000013e-05,1.9553606510162354,0.051375104,0.159383552
7,1.812802029437706,1.8608544990420341,3.1000000000000015e-05,1.897592544555664,0.051947008,0.159383552
8,1.7573844331209776,1.8768444061279297,3.400000000000001e-05,1.749739408493042,0.051375104,0.159383552
9,1.6859273285162253,1.7788498848676682,3.700000000000001e-05,1.9795811176300049,0.051374592,0.159383552
10,1.6302192543373732,1.7397279888391495,4.000000000000002e-05,1.9872050285339355,0.051195392,0.161480704
11,1.5506554920165265,1.6817844063043594,4.3000000000000015e-05,1.8373980522155762,0.051373568,0.159383552
12,1.4849486448725715,1.591798521578312,4.6000000000000014e-05,1.797023057937622,0.051287552,0.161480704
13,1.3923837747730192,1.524021454155445,4.900000000000002e-05,1.8787240982055664,0.051241472,0.161480704
14,1.3375111622888534,1.5813440829515457,5.2000000000000024e-05,1.6235878467559814,0.05132544,0.161480704
15,1.281173825263977,1.2974377498030663,5.500000000000003e-05,1.8399074077606201,0.051373568,0.159383552
16,1.2290408269303743,1.6606805846095085,5.800000000000003e-05,1.6839258670806885,0.051264,0.161480704
17,1.205918689243129,1.2428763285279274,6.1000000000000026e-05,1.9423274993896484,0.051374592,0.159383552
18,1.140796742478355,1.1955748684704304,6.400000000000002e-05,1.6994078159332275,0.05131008,0.161480704
19,1.1270054823062459,1.300955142825842,6.700000000000003e-05,1.7162601947784424,0.051936256,0.159383552
20,1.0682054865555686,1.016571767628193,7.000000000000002e-05,1.8562860488891602,0.051234304,0.161480704
21,1.060335660567049,1.0562247335910797,7.300000000000003e-05,1.7735776901245117,0.051279872,0.161480704
22,0.9983901449891387,1.0889864712953568,7.600000000000002e-05,1.859138011932373,0.051936256,0.159383552
23,0.9773636968409429,1.0260763987898827,7.900000000000002e-05,1.853266954421997,0.051241472,0.161480704
24,0.9608727654472726,1.0485330112278461,8.200000000000003e-05,1.843153476715088,0.05131008,0.161480704
25,0.922077552216952,0.9317928999662399,8.500000000000003e-05,1.787872552871704,0.05132544,0.161480704
26,0.8960635886817682,0.8781161233782768,8.800000000000004e-05,1.7878773212432861,0.05132544,0.161480704
27,0.9109967683182388,1.0541273094713688,9.100000000000004e-05,1.9326987266540527,0.051264,0.161480704
28,0.8575013934588823,0.9559429213404655,9.400000000000005e-05,1.8628544807434082,0.051936256,0.159383552
29,0.815721191343714,0.8421591445803642,9.700000000000005e-05,1.9733185768127441,0.051249152,0.161480704
30,0.8096756475870727,0.7702021449804306,0.00010000000000000005,1.6635541915893555,0.05129472,0.161480704
31,0.7950069308280945,0.8441753722727299,9.999664924618628e-05,1.902275800704956,0.051249152,0.161480704
32,0.77515795289493,0.797383451834321,9.99865974383834e-05,1.6170196533203125,0.051264,0.161480704
33,0.737551825456932,0.8450348488986492,9.996984593744529e-05,1.996023178100586,0.051398144,0.159383552
